line_no,human_out,asr_out
3,If you can hear me that's okay,You that is
7,At UFAL,It will fall
8,speech translation,sounds station
10,Is your's,The Ceo 's
11,introduction,interaction
12,you,he
13,as,so
13,ELITR project,"the elite, the project"
13,live subtitling,life supplied link
14,try,trying
15,it,-
17,-,oh
18,the only,english
18,There,that it
18,transcripts,do not scripts
18,fitting,feeding
19,notebooks,no books
20,document,look human
22,intentional,intention
24,appearing,a peer Inc
27,machine translation and spoken language,mission physicians poker in which
28,I'll,our
28,and,a inch
30,test,tests
35,That's yeah that is,And that is why there is
36,events,inventors
37,Is well the errors that we spot on,It is is so low on the errors that respond on
40,call to action,local direction this
41,"So again, tiny url dot com","So again, down your"
42,ELITR monday tests,So it would come early demanded tests
45,and,aint it
48,imput,import
49,might translate sentence by sentence,might also sometimes by sentence
50,sentence,sometimes
54,produced,produce
54,and,then
54,they,them
56,end is,and this
58,tension,pension
63,machine,missions
64,translation,opposition
64,text,takes
65,a word,aword
66,that 's,there is
66,at a time,a dime
66,timing,time
67,thing,doing
69,by,bar
71,-,but
71,a,-
73,copied,copy
74,shared,share
74,improved,improve
75,of,off
79,that,then
79,over,or
80,switchboard,image more
81,2017,two dozen 17
84,as,us
85,Czech,check
85,of,off
87,czech in 2018,check into does not 18
88,Martin Popels,Martin spa pearls
88,but that was bulk,belittles Balk
91,and evaluated,inch ever looted
96,language,English
98,sorry,-
102,two,to
104,ELITR,L E
105,-,the
107,misrecognized,miss recognize the
107,"Well, so in the ELITR",of will sell in in the
108,coordinating the,Cordelia
108,our,are
109,Karlsruhe is,through his
109,in speech,in inch
116,Alfaview,all for you
117,that 's the supreme,there is the supream
122,affiliated user,"then a few lady, you the"
130,uh of,us off
133,Czech,check
137,EUROSAI languages,"off, you are selling, which"
137,the offical EU,artificially
138,-,world as much
140,data,date
141,Sources for some years,Our source is the for some years
144,for the these twenty four,before the stand for
144,so,soul
144,additional,Eddison
145,"status, that","stayed, as they had"
159,twice,two eyes
165,firms like,thermos-like
166,old,altar
166,Pervoice had,to ahead
167,just added,just did
167,into Czech,interject
168,to attend,at the end
168,Mock,More
169,these multiple,the small
170,interpreters,in their brothers
170,in the booths,in the wars
176,MatFyz,month is
176,day,they
177,recently,simply it
178,NPL,opiate
178,lay,lady
178,auditors,orators
181,wi-fi did not start,the wife.I did not start
182,I will,Well no
183,Lang Tools,"long, close"
187,again,a game
187,the Mock Conferences at Faculty of Art,So the more conference is affected of ours
189,"these, the",the size of the
190,ARS,ears are
191,-,Joe
191,task,are still
192,shared,share
192,institutes to,Institute stood
193,our,all
200,"that, like we",with that we are.We are like we.We
203,"Tomáš Sedláček, the Czech economist","The much said,"" lodging the check Gm is"
204,Czech,check
207,had,have
210,"So we, we started",So what we
212,-,The
213,"uh, so, uh, yeah",and so on so on
214,uh,-
218,a bit,to have it
219,do photoshopping,do for a shopping
220,demos,most of
220,select,selected
220,the bits,the bates
221,where it worked,"The word"" worked"""
221,two day,today
222,growing,going
223,today,to day
224,ASR and MT,as are an empty
226,very,were
229,-,too
230,-,to
230,to present,to prison
231,little,litter
232,speech recognition recognizes words,took me to recognize his words
234,that stream of words,That is three more for it is
235,and then only you,And then only then you
236,of stream,of those three him
237,steps,stem
239,overall,or
240,PerVoice,her was
240,projects,project
241,PerVoice,paradise
243,That client connects,that climb comics
245,to the ASR,So the ace are
